港澳台‖稳流,#genre#
香蕉臺,http://204.45.185.166:25678/i/ghjnvq5o/t00c98rg/index.m3u8
松视4,http://204.45.185.166:25678/i/ghjnvq5o/984fa1vb/index.m3u8
高清无码1,http://204.45.185.166:25678/i/ghjnvq5o/846a1ghm/index.m3u8
高清无码2,http://204.45.185.166:25678/i/ghjnvq5o/1bf4a301/index.m3u8
高清无码3,http://204.45.185.166:25678/i/ghjnvq5o/ahun18hg/index.m3u8
高清无码4,http://204.45.185.166:25678/i/ghjnvq5o/84a15gbc/index.m3u8
俄罗斯 Ⅰ 俄罗斯一台,http://a787201928-s26881.cdn.ngenix.net/hls/russia_hd/playlist_3.m3u8
西班牙 Ⅰ 西班牙四台,https://livehlsdai-i.akamaihd.net/hls/live/571643/cuatro/bitrate_4.m3u8
西班牙 Ⅰ 西班牙五台,https://livehlsdai-i.akamaihd.net/hls/live/571640/telecinco/bitrate_4.m3u8
西班牙 Ⅰ 神性电视台,https://mdslivehls-i.akamaihd.net/hls/live/571648/divinity/bitrate_4.m3u8
西班牙 Ⅰ 活力电视台,https://mdslivehlsb-i.akamaihd.net/hls/live/623617/energy/bitrate_3.m3u8
西班牙 Ⅰ 啵嘤卡通台,https://mdslivehlsb-i.akamaihd.net/hls/live/623616/boing/bitrate_3.m3u8
意大利 Ⅰ Rai 吞咽,http://b2everyrai-lh.akamaihd.net/i/raigulp_1@66350/master.m3u8
意大利 Ⅰ Rai 幼幼,http://b2everyrai-lh.akamaihd.net/i/raiyoyo_1@191405/master.m3u8
意大利 Ⅰ Rai 电影,http://b2everyrai-lh.akamaihd.net/i/raimovie_1@67348/master.m3u8
意大利 Ⅰ Rai 溢价,http://b2everyrai-lh.akamaihd.net/i/raipremium_1@181837/index_1800_av-p.m3u8
意大利 Ⅰ 意大利电台,http://radioitaliatv-lh.akamaihd.net/i/radioitaliatv_1@329645/index_720x480_av-p.m3u8
墨西哥 Ⅰ 墨西哥电视,http://bcoveliveios-i.akamaihd.net/hls/live/201661/57828478001/milenio_center_512k@51752.m3u8
巴拿马 Ⅰ 远程网络台,http://k4.usastreams.com/Telesistemas/Telesistemas/playlist.m3u8
斯诺伐克 Ⅰ J O J 频道,http://nn2.joj.sk/hls/joj-540.m3u8
斯洛伐克 Ⅰ WAU 频道,http://nn2.joj.sk/hls/wau-540.m3u8

卫星频道_7811,#genre#
不知道,https://qqc1107.phpdaniu.com/japan/20190829/5fjOUM6C/index.m3u8
苹果,https://qqc1107.phpdaniu.com/japan/20190821/xKAFD0kH/800kb/hls/index.m3u8
丑闻,https://qqc1107.phpdaniu.com/japan/20190821/7vpRqM9k/index.m3u8
为你钟情,https://qqc1107.phpdaniu.com/japan/20190820/zelJotND/800kb/hls/index.m3u8
魔鬼天使,https://qqc1107.phpdaniu.com/japan/20190821/lAEs5Rri/index.m3u8
一路向西,https://qqc1107.phpdaniu.com/japan/20190829/LGzK8FXD/800kb/hls/index.m3u8
蜜桃成熟时,https://qqc1107.phpdaniu.com/japan/20190820/OWLLUzio/index.m3u8
少女潘金莲,https://qqc1107.phpdaniu.com/japan/20190930/mzOygvXT/800kb/hls/index.m3u8
唐朝豪放女,https://qqc1107.phpdaniu.com/japan/20190930/sy8A0Lc6/index.m3u8
金瓶梅【上集】,https://qqc1107.phpdaniu.com/japan/20190829/6iLi5qMz/800kb/hls/index.m3u8
金瓶梅【下集】,https://qqc1107.phpdaniu.com/japan/20190829/FQIZJjXg/index.m3u8
美人图【第一集】,https://qqc1107.phpdaniu.com/japan/20190820/TQzYp0CW/800kb/hls/index.m3u8
美人图【第二集】,https://qqc1107.phpdaniu.com/japan/20190820/aVMEPQGA/index.m3u8
南洋十大邪术,https://qqc1107.phpdaniu.com/japan/20190829/weqi6SFY/800kb/hls/index.m3u8
爱人情人爱诱惑,https://qqc1107.phpdaniu.com/japan/20190821/XIo5Lk08/800kb/hls/index.m3u8
玉蒲团之玉女心经,https://qqc1107.phpdaniu.com/japan/20190820/VSPnfvCr/800kb/hls/index.m3u8
肉蒲团之极乐宝鉴,https://qqc1107.phpdaniu.com/japan/20190829/CMS8vhEX/index.m3u8
色即是空【前篇】,https://qqc1107.phpdaniu.com/japan/20190821/q5eiqO19/800kb/hls/index.m3u8
色即是空【后篇】,https://qqc1107.phpdaniu.com/japan/20190821/Lg2355tx/index.m3u8
满清十大酷刑【赤裸凌迟】,https://qqc1107.phpdaniu.com/japan/20190829/LR1VP55H/800kb/hls/index.m3u8
老司机,https://qqc1107.phpdaniu.com/japan/20191013/lcMXHzfW/500kb/hls/index.m3u8
牛仔裤女郎,https://qqc1107.phpdaniu.com/japan/20191013/jz4knROn/500kb/hls/index.m3u8
操到翻白眼,https://qqc1107.phpdaniu.com/japan/wuma/031116-519_06/index.m3u8
爆弹肉体小衣,https://qqc1107.phpdaniu.com/japan/20191013/S9iMljUH/500kb/hls/index.m3u8
被秒插却很爽,https://qqc1107.phpdaniu.com/japan/20191013/TnoqbCFH/500kb/hls/index.m3u8
大轮奸性感空姐,https://qqc1107.phpdaniu.com/japan/ZW0910/AITV4deO/index.m3u8
美少妇全穴中出,https://qqc1107.phpdaniu.com/japan/ZW0910/8F8YJ4lB/800kb/hls/index.m3u8
让少妇淫叫潮吹,https://qqc1107.phpdaniu.com/japan/20191101/M5PFQupR/index.m3u8
女孩的最终幻想,https://qqc1107.phpdaniu.com/oumei/2019922/qqc002/1000kb/hls/index.m3u8
小猫咪搬的女孩,https://qqc1107.phpdaniu.com/oumei/2019922/qqc001/index.m3u8
加藤椿是我老婆,https://qqc1107.phpdaniu.com/japan/20191013/P0ITeExQ/index.m3u8
和你老婆来一炮,https://qqc1107.phpdaniu.com/japan/20191013/wC5HedHl/index.m3u8
我老婆是雾岛樱的话,https://qqc1107.phpdaniu.com/japan/20191013/uh131Qgy/index.m3u8
朋友的女友西野亚子,https://qqc1107.phpdaniu.com/japan/20191013/Wny3sG2o/500kb/hls/index.m3u8
热吻浓情干炮【江波凉】,https://qqc1107.phpdaniu.com/japan/20191003/040518_667/index.m3u8
喷精快手松本芽依精选,https://qqc1107.phpdaniu.com/japan/20191013/alQxYPic/500kb/hls/index.m3u8
喷精快手上原麻衣精选,https://qqc1107.phpdaniu.com/japan/20191013/LdqeJHSd/index.m3u8
淫乱小穴操到爆射大满足,https://qqc1107.phpdaniu.com/japan/20191013/ijyp7jqd/index.m3u8
被隔壁的巨乳大姐榨干了,https://qqc1107.phpdaniu.com/japan/20191013/YUTeYB6h/500kb/hls/index.m3u8
超淫荡美少妇的激情爱爱,https://qqc1107.phpdaniu.com/japan/20191013/NQ1YjAsl/index.m3u8
美穴欣赏【叶山瞳】,https://qqc1107.phpdaniu.com/japan/20191013/EMDCPRKl/index.m3u8
美穴欣赏【麻生希】,https://qqc1107.phpdaniu.com/japan/20191013/VBDebMeI/500kb/hls/index.m3u8

测试频道,#genre#
邵氏影院-蓝光,http://tx2play1.douyucdn.cn/live/4246519rZ6Vvqy7q_4000.flv?uuid=
邵氏影院-超清,http://tx2play1.douyucdn.cn/live/4246519rZ6Vvqy7q_2000p.flv?uuid=
邵氏影院-流畅,http://tx2play1.douyucdn.cn/live/4246519rZ6Vvqy7q_550p.flv?uuid=
邵氏影院-高清,http://tx2play1.douyucdn.cn/live/4246519rZ6Vvqy7q_1200p.flv?uuid=
恐怖丧尸鬼片灾难-蓝光,http://tx2play1.douyucdn.cn/live/263824rvckg2QDjU_4000.flv?uuid=
恐怖丧尸鬼片灾难-超清,http://tx2play1.douyucdn.cn/live/263824rvckg2QDjU_2000p.flv?uuid=
恐怖丧尸鬼片灾难-流畅,http://tx2play1.douyucdn.cn/live/263824rvckg2QDjU_550p.flv?uuid=
恐怖丧尸鬼片灾难-高清,http://tx2play1.douyucdn.cn/live/263824rvckg2QDjU_1200p.flv?uuid=
RUNNING MAN,http://tx2play1.douyucdn.cn/live/131977rqtTiLQh1o.flv?uuid=
菊花台,http://46.29.165.95:8081/stream/Runight/chunks.m3u8
松视2台,vjms://23.237.33.155:8500:5023/live/cid=267
海爷TV3,https://cn-zjwz-dx-live-03.live-play.acgvideo.com/live-bvc/603598/live_268522326_2538218_1500.m3u8             
海爷TV1,https://cn-jsnt-dx-live-05.live-play.acgvideo.com/live-bvc/315078/live_52370715_1734265_1500.m3u8

HAPPY频道_7811,#genre#
星颖,P2p://170.178.164.243:6210/5b448cd6000329d7000b7194c6f06352.ts
香蕉台,P2p://170.178.164.243:6210/5b448cf50001f8ea000bea5d07616b46.ts
K频道,P2p://170.178.164.243:6210/5b448cf1000cc439000bdd81e4fafa61.ts
彩虹MOIVE,P2p://170.178.164.243:6210/5b448cee0008f760000bd0d0f0c4d991.ts
彩虹e台,P2p://170.178.164.243:6210/5b448ceb00099801000bc541be95c6ea.ts
惊艳电影台,P2p://170.178.164.243:6210/5b448ce90003aafc000bbbed0a86ba1f.ts
松视3台,P2p://170.178.164.243:6210/5b448ce6000b1ec3000bb21d8beebcb9.ts
松视2台,P2p://170.178.164.243:6210/5b448ce3000abcb9000ba64c1e07d690.ts
松视1台,P2p://170.178.164.243:6210/5b448cdf000c86d2000b97210f41bf0a.ts
潘朵拉粉红,P2p://170.178.164.243:6210/5b448cdc000563cc000b899558714265.ts
潘朵拉玩美,P2p://170.178.164.243:6210/5b448cd8000b792c000b7b84b411ee82.ts
加勒比高清無碼,p5p://192.95.32.107:9906/5a00e088000c87354f15a28579f75a51&link=盗链死全家
一本道高清無碼,p5p://192.95.32.107:9906/5a00dfee000d6d674f13492f306e41c9&link=盗链死全家
東京熱高清無碼,p5p://192.95.32.107:9906/5a00e050000b83734f14c782452b6c50&link=盗链死全家
熟女人妻高清無碼,p5p://192.95.32.107:9906/59222cba000a1df94e03e6bf4ac746e5&link=盗链死全家
Heyzo全高清梦幻,p5p://192.95.32.107:9906/59222cab00007c3e4e03a9b06f6e3544&link=盗链死全家
XXX高清梦幻電影,p5p://192.95.32.107:9906/59222cdc000262844e04699514602c9f&link=盗链死全家
韓國娛樂圈潛規則,p5p://192.95.32.107:9906/5a00e01f000a53fd4f1407cc4a6d185f&link=盗链死全家
素人萌妹高清梦幻,p5p://192.95.32.107:9906/59222c9c0003f2144e036ffb2b1a0fa3&link=盗链死全家
人妻斬全高清梦幻,p5p://192.95.32.107:9906/59222c6f00022fc44e02bfbf20064484&link=盗链死全家
CatWalk高清梦幻,p5p://192.95.32.107:9906/59222c7d0002cc1d4e02f69777421fe1&link=盗链死全家
J-Girls高清,p5p://192.95.32.107:9906/59222cec00099ca14e04a9ee49f975aa&link=盗链死全家
泰國高清梦幻,p5p://192.95.32.107:9906/59222c8d00098c5a4e0336d2051d28b7&link=盗链死全家
美麗人妻偷情高清,p5p://192.95.32.107:9906/59222ccd00018f794e042ec773946adc&link=盗链死全家
美國黑白大戰高清,p5p://192.95.32.107:9906/5a00dee700058f184f0f43d2171210de&link=盗链死全家
美麗黑人女孩高清,p5p://192.95.32.107:9906/59222c5f000b25694e02838a0e393f6b&link=盗链死全家
美國淫蕩辦公室高清,p5p://192.95.32.107:9906/5a00de9d0000efc54f0e2193010f615d&link=盗链死全家
美國淘氣情色高清,p5p://192.95.32.107:9906/5a00df47000468704f10ba870037058d&link=盗链死全家
葡萄牙色情高清,p5p://192.95.32.107:9906/59222d2f0009e1d64e05afb8166e2c72&link=盗链死全家
歐洲懷舊經典啄木鳥,p5p://192.95.32.107:9906/59222c3b000337794e01f4e21ea11f29&link=盗链死全家
21 Members,p5p://192.95.32.107:9906/59222cfc000d44ad4e04e95e6dad6550&link=盗链死全家
21 Sextuary,p5p://192.95.32.107:9906/59222d1f00026ac94e056f4f15752758&link=盗链死全家
1 ON 1 SEX,p5p://192.95.32.107:9906/59222d0e0007d49c4e052e4a57ce514b&link=盗链死全家
Dorcel HD,p5p://192.95.32.107:9906/59222c4f00014cfc4e0242852b9d1f13&link=盗链死全家
Hulster HD,p5p://192.95.32.107:9906/5924d29d000952de585be53f04ef7bd7&link=盗链死全家
吃偉哥老牛啃嫩草,p5p://192.95.32.107:9906/59222d3f000d89e34e05ef2869e52765&link=盗链死全家
阿拉伯風情,p5p://192.95.32.107:9906/59c1c78c000ba3786d003ced53016205&link=盗链死全家
Dorcel,p5p://192.95.32.107:9906/59222c4f00014cfc4e0242852b9d1f13&link=盗链死全家
Hustler Europe,p5p://192.95.32.107:9906/5a067bc5000b238264fc087b26575830&link=盗链死全家
Red Light,p5p://192.95.32.107:9906/5a067bf9000f1b7e64fcd49f5f2824a3&link=盗链死全家
Private TV,p5p://192.95.32.107:9906/5b0841230009c18453e520a936dc2736&link=盗链死全家
Penthouse US,p5p://192.95.32.107:9906/59d2eaea00060e7baff23f1e7daf63ee&link=盗链死全家
Redhot,p5p://192.95.32.107:9906/59d2efbf0007c958b0051f9d1fe555f9&link=盗链死全家
Vivid TV,p5p://192.95.32.107:9906/59d2eafb000ae0faaff282c2054619d0&link=盗链死全家
Playboy,p5p://192.95.32.107:9906/5a8b29f1000274366b4365f97edc77e7&link=盗链死全家
Anikkas,p5p://192.95.32.107:9906/5a653bb4000695f9d71908f1127c6ea5&link=盗链死全家
梦幻頻道02,p5p://192.95.32.107:9906/59222cab00007c3e4e03a9b06f6e3544&link=盗链死全家
梦幻頻道03,p5p://192.95.32.107:9906/59222cdc000262844e04699514602c9f&link=盗链死全家
梦幻頻道04,p5p://192.95.32.107:9906/59222c9c0003f2144e036ffb2b1a0fa3&link=盗链死全家
梦幻頻道05,p5p://192.95.32.107:9906/59222c6f00022fc44e02bfbf20064484&link=盗链死全家
梦幻頻道06,p5p://192.95.32.107:9906/59222c7d0002cc1d4e02f69777421fe1&link=盗链死全家

国外频道_7811,#genre#
HAPPY 高清,P2p://51.79.41.138:18912/5c18f8fe000ca53ec074293d6d01287b.ts.ts
惊艳台 高清,P2p://51.79.41.138:18912/5c18f9100006a3e2c0746e0708a009f7.ts.ts
彩虹电影 高清,P2p://51.79.41.138:18912/5c18f8eb000ca180c073df055bc26b76.ts.ts
彩虹e台 高清,P2p://51.79.41.138:18912/5c18f8ef000d41c9c073eec574332890.ts.ts
彩虹k台 高清,P2p://51.79.41.138:18912/5c18f8f300074bdfc073fcde6e553705.ts.ts
HOT星颜 高清,P2p://51.79.41.138:18912/5c18f8e80001d046c073d07f7ee742c9.ts.ts
松视1台 高清,P2p://51.79.41.138:18912/5c18f8fb00064883c0741bdf109f114a.ts.ts
松视2台 高清,P2p://51.79.41.138:18912/5c18f8f7000d865dc0740e1426765941.ts.ts
松视3台 高清,P2p://51.79.41.138:18912/5c18f9020004cea3c07436da29307240.ts.ts
香蕉台 高清,P2p://51.79.41.138:18912/5c18f9090004f8a0c07452412e4e369f.ts.ts
潘多拉粉红 高清,P2p://51.79.41.138:18912/5c18f90c000e8229c074606a15084f35.ts.ts
潘多拉完美 高清,P2p://51.79.41.138:18912/5c18f905000c08fbc07444661e2e685e.ts.ts
K频道 高清,p8p://0198.02686.cc:16871/5d25b7e5000ad9f60a2fc2f2dffda85a.ts.ts
红粉台 高清,p8p://0198.02686.cc:16871/5d25b7e900054d910a2fd126812250f8.ts.ts
樱花台 高清,p8p://0198.02686.cc:16871/5d25b7e7000b9ffe0a2fcaf5ddbba365.ts.ts
SSHD,http://59.120.242.104:9000/live/live6.m3u8
HOUSE,http://122.38.74.172:9981/stream/channelid/1086640851
MIDNIGHT,http://122.38.74.172:9981/stream/channelid/339312133
PLAYOY,http://122.38.74.172:9981/stream/channelid/966306501
VIKI,http://122.38.74.172:9981/stream/channelid/798964177
honey,http://122.38.74.172:9981/stream/channelid/1463854277
Desike,http://122.38.74.172:9981/stream/channelid/816085039
加勒比高清無碼,p9p://192.95.32.107:9906/5a00e088000c87354f15a28579f75a51&link=盗链死全家
一本道高清無碼,p9p://192.95.32.107:9906/5a00dfee000d6d674f13492f306e41c9&link=盗链死全家
東京熱高清無碼,p9p://192.95.32.107:9906/5a00e050000b83734f14c782452b6c50&link=盗链死全家
熟女人妻高清無碼,p9p://192.95.32.107:9906/59222cba000a1df94e03e6bf4ac746e5&link=盗链死全家
Heyzo全高清無碼,p9p://192.95.32.107:9906/59222cab00007c3e4e03a9b06f6e3544&link=盗链死全家
XXX高清無碼電影,p9p://192.95.32.107:9906/59222cdc000262844e04699514602c9f&link=盗链死全家
韓國娛樂圈潛規則,p9p://192.95.32.107:9906/5a00e01f000a53fd4f1407cc4a6d185f&link=盗链死全家
素人萌妹高清無碼,p9p://192.95.32.107:9906/59222c9c0003f2144e036ffb2b1a0fa3&link=盗链死全家
人妻斬全高清無碼,p9p://192.95.32.107:9906/59222c6f00022fc44e02bfbf20064484&link=盗链死全家
CatWalk高清無碼,p9p://192.95.32.107:9906/59222c7d0002cc1d4e02f69777421fe1&link=盗链死全家
J-Girls高清,p9p://192.95.32.107:9906/59222cec00099ca14e04a9ee49f975aa&link=盗链死全家
泰國高清無碼,p9p://192.95.32.107:9906/59222c8d00098c5a4e0336d2051d28b7&link=盗链死全家
美麗人妻偷情高清,p9p://192.95.32.107:9906/59222ccd00018f794e042ec773946adc&link=盗链死全家
美國黑白大戰高清,p9p://192.95.32.107:9906/5a00dee700058f184f0f43d2171210de&link=盗链死全家
美麗黑人女孩高清,p9p://192.95.32.107:9906/59222c5f000b25694e02838a0e393f6b&link=盗链死全家
美國淫蕩辦公室高清,p9p://192.95.32.107:9906/5a00de9d0000efc54f0e2193010f615d&link=盗链死全家
美國淘氣情色高清,p9p://192.95.32.107:9906/5a00df47000468704f10ba870037058d&link=盗链死全家
葡萄牙色情高清,p9p://192.95.32.107:9906/59222d2f0009e1d64e05afb8166e2c72&link=盗链死全家
歐洲懷舊經典啄木鳥,p9p://192.95.32.107:9906/59222c3b000337794e01f4e21ea11f29&link=盗链死全家
21 Members,p9p://192.95.32.107:9906/59222cfc000d44ad4e04e95e6dad6550&link=盗链死全家
21 Sextuary,p9p://192.95.32.107:9906/59222d1f00026ac94e056f4f15752758&link=盗链死全家
1 ON 1 SEX,p9p://192.95.32.107:9906/59222d0e0007d49c4e052e4a57ce514b&link=盗链死全家
Dorcel HD,p9p://192.95.32.107:9906/59222c4f00014cfc4e0242852b9d1f13&link=盗链死全家
Hulster HD,p9p://192.95.32.107:9906/5924d29d000952de585be53f04ef7bd7&link=盗链死全家
